Rank,Verb
577,tick
578,tickle
579,tie
580,time
581,tip
582,tire
583,touch
584,tour
585,tow
586,trace
587,trade
588,train
589,transport
590,trap
591,travel
592,treat
593,tremble
594,trick
595,trip
596,trot
597,trouble
598,trust
599,try
600,tug
601,tumble
602,turn
603,twist
604,type
605,understand
606,undress
607,unfasten
608,unite
609,unlock
610,unpack
611,untidy
612,use
613,vanish
614,visit
615,wail
616,wait
617,wake
618,walk
619,wander
620,want
621,warm
622,warn
623,wash
624,waste
625,watch
626,water
627,wave
628,wear
629,weave
630,weigh
631,welcome
632,whine
633,whip
634,whirl
635,whisper
636,whistle
637,win
638,wind
639,wink
640,wipe
641,wish
642,wobble
643,wonder
644,work
645,worry
646,wrap
647,wreck
648,wrestle
649,wriggle
650,wring
651,write
652,yawn
653,yell
654,zip
655,zoom
656,abandon
657,abide
658,abolish
659,absorb
660,abuse
661,accelerate
662,accommodate
663,accompany
664,accomplish
665,account
666,accumulate
667,accuse
668,acquire
669,act
670,adapt
671,address
672,adjust
673,administer
674,advance
675,advocate
676,affect
677,afford
678,age
679,aim
680,alarm
681,align
682,allege
683,allocate
684,alter
685,amaze
686,amend
687,amount
688,analyze
689,animate
690,annoy
691,answer
692,anticipate
693,apologize
694,appeal
695,appear
696,apply
697,appoint
698,approach
699,arm
700,arrange
701,arrest
702,articulate
703,ascend
704,ascertain
705,ashame
706,assemble
707,assert
708,assess
709,assign
710,assist
711,associate
712,attain
713,attempt
714,attribute
715,audit
716,authorize
717,await
718,award
719,back
720,bag
721,bank
722,bar
723,bat
724,bathe
725,battle
726,beam
727,benefit
728,betray
729,blame
730,blast
731,blend
732,bless
733,blind
734,blink
735,block
736,bloom
737,boast
738,book
739,boost
740,border
741,bore
742,bother
743,bottle
744,box
745,brake
746,branch
747,breathe
748,brush
749,bump
750,bury
751,bush
752,calm
753,cancel
754,capture
755,carve
756,cash
757,cast
758,cater
759,cease
760,celebrate
761,center
762,chain
763,characterize
764,chart
765,chat
766,circle
767,circulate
768,cite
769,clarify
770,clash
771,class
772,classify
773,click
774,cling
775,clip
776,clothe
777,coach
778,collapse
779,combine
780,comfort
781,command
782,comment
783,commit
784,communicate
785,compel
786,compete
787,compile
788,complicate
789,comply
790,compose
791,comprehend
792,comprise
793,compute
794,conceal
795,concede
796,conceive
797,concentrate
798,concern
799,condemn
800,conduct
801,confer
802,confess
803,confine
804,conflict
805,confront
806,confuse
807,congratulate
808,conquer
809,consent
810,conserve
811,console
812,constitute
813,construct
814,consult
815,consume
816,contact
817,contend
818,contest
819,contract
820,contrast
821,contribute
822,control
823,convene
824,converge
825,converse
826,convert
827,convey
828,convict
829,convince
830,cool
831,cooperate
832,coordinate
833,cope
834,corner
835,correlate
836,correspond
837,corrupt
838,cough
839,counsel
840,course
841,crack
842,credit
843,creep
844,criticize
845,crop
846,crowd
847,crown
848,crucify
849,crush
850,cultivate
851,curve
852,cycle
853,damage
854,darken
855,dash
856,date
857,dawn
858,debate
859,decay
860,deceive
861,declare
862,decline
863,decorate
864,decrease
865,dedicate
866,deduce
867,deem
868,defeat
869,defend
870,define
871,defy
872,delay
873,delete
874,deliberate
875,delight
876,demonstrate
877,denounce
878,depart
879,depict
880,deploy
881,deposit
882,depress
883,deprive
884,derive
885,descend
886,desert
887,design
888,designate
889,desire
890,despair
891,detach
892,detail
893,detain
894,detect
895,deteriorate
896,devise
897,devote
898,diagnose
899,differ
900,differentiate
901,digest
902,diminish
903,dip
904,direct
905,disappear
906,disappoint
907,discard
908,discharge
909,disclose
910,discount
911,discourage
912,disease
913,dislike
914,dismiss
915,display
916,dispose
917,dispute
918,disrupt
919,dissolve
920,distance
921,distinguish
922,distract
923,distribute
924,disturb
925,dive
926,divorce
927,document
928,dominate
929,donate
930,double
931,doubt
932,draft
933,drag
934,drain
935,drift
936,drill
937,drip
938,drown
939,dump
940,dust
941,ease
942,echo
943,edit
944,effect
945,elaborate
946,elevate
947,eliminate
948,embrace
949,emerge
950,emphasize
951,employ
952,empty
953,enable
954,enclose
955,encounter
956,endorse
957,endure
958,enforce
959,engage
960,enhance
961,enlarge
962,enlist
963,ensure
964,entertain
965,entitle
966,entrust
967,envy
968,equal
969,equip
970,erase
971,erect
972,escape
973,escort
974,evaporate
975,evoke
976,evolve
977,exact
978,exaggerate
979,exceed
980,exchange
981,excite
982,exclude
983,excuse
984,execute
985,exercise
986,exert
987,exhaust
988,exhibit
989,expand
990,experience
991,experiment
992,exploit
993,explore
994,export
995,expose
996,extract
997,facilitate
998,fade
999,fancy
1000,farm
